adult,gender,id,known_for_department,name,original_name,popularity,profile_path,credit_id,department,job,movie_id
False,2,1243,Directing,Woody Allen,Woody Allen,13.22,/wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg,52fe4eea9251416c75166ca7,Directing,Director,229297
False,2,44114,Directing,Simon J. Smith,Simon J. Smith,1.871,/puCP7MQ8Gm9aKGcQiOcLiKIKcpJ.jpg,537ccf650e0a262a84001b26,Directing,Director,270946
False,2,18863,Directing,Eric Darnell,Eric Darnell,3.04,/l3yiLuFKqpPlDGWH0kKA0X1jZKM.jpg,5483ba4d92514175f5002c15,Directing,Director,270946
False,2,80602,Acting,Tyler Perry,Tyler Perry,18.745,/8KU0OizemVLrERXt5HJIa0PAkIN.jpg,52fe4e95c3a36847f829a80b,Directing,Director,239562
False,1,1350796,Directing,Karen J. Lloyd,Karen J. Lloyd,2.244,,53e3f57bc3a368484d002778,Directing,Director,285733
False,2,1378416,Directing,Mark Monheim,Mark Monheim,0.776,/5nwwxbJN26kUkNoteHOP6wc604H.jpg,544eaaefc3a3685cc4000002,Directing,Director,299353
False,1,929825,Directing,Ava DuVernay,Ava DuVernay,4.179,/84rc8I3Wf5zkCWGMNeTtmRekHW0.jpg,538f45910e0a26297f0001df,Directing,Director,273895
False,2,45791,Directing,Roy Andersson,Roy Andersson,1.596,/sFcrQOIWUM1QArvquG3DmVqw3Eu.jpg,52fe4ad4c3a36847f81e3e81,Directing,Director,110390
False,2,17633,Directing,Rob Marshall,Rob Marshall,5.519,/4cTHkbMpsHHNI23HP3RHNLFoPRz.jpg,52fe4e319251416c7514e603,Directing,Director,224141
False,2,17633,Directing,Rob Marshall,Rob Marshall,5.519,/4cTHkbMpsHHNI23HP3RHNLFoPRz.jpg,52fe4e319251416c7514e603,Directing,Director,224141
False,2,76998,Directing,James Marsh,James Marsh,1.357,/pvAWSznf3Ou5KWnPHgvKprB1qPV.jpg,535c6a0f0e0a264feb00226f,Directing,Director,266856
False,2,69371,Directing,Jean-Marc Vallée,Jean-Marc Vallée,2.141,/1XSpEx5n88rlOsdcNqXYvnDrx44.jpg,52fe4ede9251416c7516532b,Directing,Director,228970
False,2,17825,Directing,Shawn Levy,Shawn Levy,17.186,/j1CXZgmfvFeD7S3PYtsEk8H3ebB.jpg,52fe4e98c3a36847f829b1f7,Directing,Director,239678
False,2,68519,Directing,Andrey Zvyagintsev,Андрей Звягинцев,0.936,/56yI1A4ZlrgQP2TdlH0tHhGEqO4.jpg,534fcb38c3a3681cb5000e40,Directing,Director,265180
False,2,84962,Writing,Stiles White,Stiles White,1.548,/yF8QLwcsMMjOEQXpborwdzWgruv.jpg,52fe4ecfc3a36847f82a94b1,Directing,Director,242512
False,2,2176,Acting,Tommy Lee Jones,Tommy Lee Jones,31.854,/mCiZNRAzbnPojJEZwVZWLw9kzxR.jpg,534c26b2c3a3682e070033f0,Directing,Director,264656
False,0,2616201,Directing,Alex Leung,Alex Leung,0.001,,5ea66c916d1bb2001da55f40,Directing,Director,311620
False,2,108,Directing,Peter Jackson,Peter Jackson,13.45,/4hh7hips4xc6kgpNDQKQH3goRvJ.jpg,52fe4a87c3a368484e158b65,Directing,Director,122917
False,2,101666,Directing,Paul King,Paul King,3.326,/hDixADZQOBP0E3G9ZxC4kuNHO0.jpg,52fe4b85c3a36847f8207bed,Directing,Director,116149
False,2,82511,Directing,Will Gluck,Will Gluck,6.76,/facxxJZFpnoufJIY4jU9mC7RGKx.jpg,52fe4d3c9251416c9110f41d,Directing,Director,196867
False,2,143593,Directing,Xavier Dolan,Xavier Dolan,11.364,/sKvDmg9HQ6zauWo5XpsBVR8xBf4.jpg,534fc9810e0a267eb6000d87,Directing,Director,265177
False,2,65452,Directing,Mike Leigh,Mike Leigh,4.315,/eQAc3gIjhAFTgHVQ3kfpbkUe97M.jpg,52fe4f0ac3a36847f82b90fd,Directing,Director,245700
False,2,1141683,Directing,Theodore Melfi,Theodore Melfi,4.211,/hn2z28ofSNRxx4UTo6qOqzYCx0u.jpg,52fe4e96c3a36847f829a88f,Directing,Director,239563
False,1,164554,Directing,Jennifer Kent,Jennifer Kent,2.802,/neV1Pc9Ed051WmQ4jahjEHuIbRg.jpg,52fe4ec7c3a36847f82a7597,Directing,Director,242224
False,1,11701,Acting,Angelina Jolie,Angelina Jolie,61.438,/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg,52fe4e9d9251416c7515c817,Directing,Director,227306
False,2,578,Directing,Ridley Scott,Ridley Scott,27.412,/zABJmN9opmqD4orWl3KSdCaSo7Q.jpg,52fe4ba69251416c75109a81,Directing,Director,147441
False,2,1387013,Directing,Fábio Mendonça,Fábio Mendonça,0.026,/30Ao8LHV8JXEiEN9FGDloOohEFU.jpg,5486c65d9251417603001354,Directing,Director,309309
False,2,19224,Directing,Gregg Araki,Gregg Araki,2.324,/pSoAQI9Z48WwhfdYRPy2IENWFdA.jpg,52fe4bd39251416c910e6e75,Directing,Director,157825
False,2,2632,Acting,Chris Rock,Chris Rock,18.374,/cqI8yQ00GNDV3PAAz5UeLj7vOX0.jpg,53d7fd2c0e0a260340002682,Directing,Director,284296
False,1,1285174,Acting,Desiree Akhavan,Desiree Akhavan,4.607,/xus5HH2qSyrP5SNK6516LVajg6.jpg,52fe4f4cc3a36847f82cbe53,Directing,Director,249916
False,2,22214,Acting,David Wain,David Wain,4.734,/yh4AtjuNvBwca8HvzIXjo1Y1Nwf.jpg,52fe4c449251416c751151d7,Directing,Director,180296
False,2,82351,Directing,Henrik Ruben Genz,Henrik Ruben Genz,0.573,/1S5HkLFDnxfxwYAP2E2DDWquk2v.jpg,533993329251417d9e0049c5,Directing,Director,262338
False,1,1289604,Directing,Ana Lily Amirpour,Ana Lily Amirpour,4.083,/bay1UyEh7oRwhW5ZIXvzpc33pXe.jpg,52fe4e319251416c91129763,Directing,Director,252171
False,2,5369,Directing,George C. Wolfe,George C. Wolfe,3.136,/kH6xHlBleRUJt0c0AOAsv5DMoib.jpg,5409002f0e0a263a1e000958,Directing,Director,290542
False,2,61357,Directing,Geoffrey Sax,Geoffrey Sax,2.676,/iieUqEVYTF4Zmnj1g6GjSjMgvqe.jpg,63b10e3b875d1a00a01f72a5,Directing,Director,1068322
False,2,45459,Directing,Mike Cahill,Mike Cahill,1.327,/izBZvC9phEVxcMIaKxjer4eaNeu.jpg,52fe4eefc3a36847f82b1a99,Directing,Director,244267
False,1,1305363,Writing,Talya Lavie,Talya Lavie,0.648,/8ENuL0N7sOwzvgbAXM37L0TS4aD.jpg,5335b880c3a3682a870054ee,Directing,Director,261825
False,2,56209,Directing,Jean-Pierre Dardenne,Jean-Pierre Dardenne,2.044,/n5BqsP6h3VtweQAFfQz2qtd5khq.jpg,52fe4dd79251416c75142bcf,Directing,Director,221902
False,2,45138,Directing,Luc Dardenne,Luc Dardenne,1.241,/hfnvLjmLKQyx1ftkuC6hhHwoTtM.jpg,52fe4dd79251416c75142bd5,Directing,Director,221902
False,2,1068143,Directing,Samuli Valkama,Samuli Valkama,0.572,,5370bed0c3a368122000fd22,Directing,Director,269495
False,0,93064,Directing,Michael G. Bartlett,Michael G. Bartlett,0.628,,56d5f713925141188400330f,Directing,Director,286372
True,2,82337,Writing,Wash Westmoreland,Wash Westmoreland,1.737,/3Dw7e5lCKZdMaK1JeQbUzWvj8K9.jpg,53d7fa1f0e0a26033a0024c9,Directing,Director,284293
False,2,82335,Directing,Richard Glatzer,Richard Glatzer,1.008,/mNmbyjSPyeV1KFqCzFFVof1VZTH.jpg,53d7fa010e0a2603440024ef,Directing,Director,284293
False,2,216146,Directing,Jordan Rubin,Jordan Rubin,0.779,/erdbMSowwwYyJux8jE6jHAZJq2d.jpg,5c521ad30e0a2601d6cac2e7,Directing,Director,254474
False,2,957,Directing,Matthew Vaughn,Matthew Vaughn,5.782,/Dnbz3B7yy4u0abixuD5LakZgsy.jpg,52fe4d3ac3a368484e1ddca1,Directing,Director,207703
False,2,1099862,Directing,Dean Israelite,Dean Israelite,2.327,/xGU6BmUb4t047l1T8clD45AkfSB.jpg,52fe4eaf9251416c7515eca5,Directing,Director,227719
False,2,1167896,Directing,Ned Benson,Ned Benson,1.38,/hXrwsqDs216BGskPQATOj0wEN7y.jpg,53950d210e0a266db40055ce,Directing,Director,275060
False,2,556172,Directing,J.C. Chandor,J.C. Chandor,5.249,/6oaCrcLpqAvuWci6kStnuuAc34I.jpg,538d3574c3a368714b003ed7,Directing,Director,241239
False,2,190,Acting,Clint Eastwood,Clint Eastwood,43.002,/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,52fe4c6f9251416c910f4d57,Directing,Director,190859
False,2,52779,Creator,Ryan Murphy,Ryan Murphy,10.728,/uPojf0hEIpud1huRC9NY7R55OSy.jpg,52fe4b3fc3a36847f81f9f63,Directing,Director,113833
False,2,84061,Writing,Daniel Barnz,Daniel Barnz,1.273,/mIOjNL2U18SEU5OgblIHHu2nJEp.jpg,53d7df2bc3a3683a1c001827,Directing,Director,284276
False,2,1234970,Writing,Christopher Leone,Christopher Leone,1.559,,55097b3fc3a3682b4e0036c7,Directing,Director,328595
False,2,1106577,Writing,Carlos Vermut,Carlos Vermut,1.658,/1Pw1QiwSAIrxqJ1FsZQahhcxqoe.jpg,53ccb9030e0a265dfc00350f,Directing,Director,282983
False,1,68813,Directing,Céline Sciamma,Céline Sciamma,4.719,/vbzTjD01umVCJnXFnBkhd1is6AH.jpg,53567267c3a36841d6002424,Directing,Director,266082
False,2,74943,Directing,Daniel Monzón,Daniel Monzón,0.651,/xfYLzdL5vJmMHz7faKyy80zY6xI.jpg,52fe4f21c3a36847f82bf7b5,Directing,Director,247182
False,2,510,Directing,Tim Burton,Tim Burton,25.443,/yHEHAHQpN9PfSEQx1UxZPczhcAi.jpg,52fe49b59251416c910b6251,Directing,Director,87093
